sample_1,sample_2,community_distance,ocean_distance_km,east_or_west_1,habitat_1,east_or_west_2,habitat_2,metric
S70,S36,0.9548816727370874,797.6366517139551,west,seagrass,east,mangrove,unifrac
S71,S36,0.9980520156826118,322.2964645562816,east,coral,east,mangrove,unifrac
S73,S36,0.9473653737855451,322.2964645562816,east,coral,east,mangrove,unifrac
S74,S36,0.9646523132725467,322.2964645562816,east,coral,east,mangrove,unifrac
S75,S36,0.9618664855135002,322.2964645562816,east,coral,east,mangrove,unifrac
S77,S36,0.9417937397906285,298.811183182043,east,coral,east,mangrove,unifrac
S78,S36,0.929742239638053,298.811183182043,east,coral,east,mangrove,unifrac
S80,S36,0.9565736396549201,298.811183182043,east,coral,east,mangrove,unifrac
S81,S36,0.9479465040104866,293.1959594928933,east,mangrove,east,mangrove,unifrac
S82,S36,0.9556590149953108,293.1959594928933,east,mangrove,east,mangrove,unifrac
S83,S36,0.9468236696853543,293.1959594928933,east,mangrove,east,mangrove,unifrac
S84,S36,0.9452976648811828,293.1959594928933,east,mangrove,east,mangrove,unifrac
S85,S36,0.9398948891811917,293.1959594928933,east,mangrove,east,mangrove,unifrac
S86,S36,0.9334943960421974,882.0214280248045,west,mangrove,east,mangrove,unifrac
S87,S36,0.9380433711463297,882.0214280248045,west,mangrove,east,mangrove,unifrac
S88,S36,0.9524109049395034,882.4356415871778,west,mangrove,east,mangrove,unifrac
S89,S36,0.9372561257531822,882.4356415871778,west,mangrove,east,mangrove,unifrac
S90,S36,0.9308801854885582,882.4356415871778,west,mangrove,east,mangrove,unifrac
S91,S36,0.9552392467218025,898.364573775312,west,seagrass,east,mangrove,unifrac
S92,S36,0.9361638637482491,897.364573775312,west,seagrass,east,mangrove,unifrac
S93,S36,0.9488822503766187,897.364573775312,west,seagrass,east,mangrove,unifrac
S94,S36,0.9303057974524684,898.364573775312,west,seagrass,east,mangrove,unifrac
S95,S36,0.939783860127495,898.364573775312,west,seagrass,east,mangrove,unifrac
S96,S36,0.9294337727003933,870.0458146424431,west,mangrove,east,mangrove,unifrac
S97,S36,0.9415841731397135,870.0458146424431,west,mangrove,east,mangrove,unifrac
S98,S36,0.9481930820098529,870.0458146424431,west,mangrove,east,mangrove,unifrac
S99,S36,0.9542727705358395,870.0458146424431,west,mangrove,east,mangrove,unifrac
S100,S36,0.9468864614255492,871.0458146424431,west,mangrove,east,mangrove,unifrac
S101,S36,0.9021603195482071,804.2884553295632,west,coral,east,mangrove,unifrac
S102,S36,0.9130191436268668,805.5310960166826,west,coral,east,mangrove,unifrac
S103,S36,0.9003489526893889,805.9453095790557,west,coral,east,mangrove,unifrac
S104,S36,0.9371069889418856,807.5310960166825,west,coral,east,mangrove,unifrac
S105,S36,0.9359327684818292,805.7026688919364,west,coral,east,mangrove,unifrac
S106,S36,0.9152877239603647,639.9087296525983,west,mangrove,east,mangrove,unifrac
S107,S36,0.9170588096789722,639.4945160902251,west,mangrove,east,mangrove,unifrac
S108,S36,0.9091501669225965,638.4945160902251,west,mangrove,east,mangrove,unifrac
S109,S36,0.9023270708127026,638.0803025278522,west,mangrove,east,mangrove,unifrac
S110,S36,0.9402354167316831,638.0803025278522,west,mangrove,east,mangrove,unifrac
S38,S37,0.6452056451921765,1,east,mangrove,east,mangrove,unifrac
S39,S37,0.6335870237602592,2.414213562373095,east,mangrove,east,mangrove,unifrac
S40,S37,0.6906681702355163,3,east,mangrove,east,mangrove,unifrac
S41,S37,0.9525627108639289,108.07106781186548,east,coral,east,mangrove,unifrac
S42,S37,0.9705947021069588,107.65685424949237,east,coral,east,mangrove,unifrac
S43,S37,0.9731980545922834,107.65685424949237,east,coral,east,mangrove,unifrac
S44,S37,0.973475830173991,108.65685424949237,east,coral,east,mangrove,unifrac
S45,S37,0.9593596175482602,107.65685424949237,east,coral,east,mangrove,unifrac
S46,S37,0.9452670009283478,107.07106781186548,east,mangrove,east,mangrove,unifrac
S47,S37,0.8910573436646516,107.07106781186548,east,mangrove,east,mangrove,unifrac
S48,S37,0.93961320890898,107.07106781186548,east,mangrove,east,mangrove,unifrac
S49,S37,0.886402557200885,108.07106781186548,east,mangrove,east,mangrove,unifrac
S50,S37,0.8993355096818296,108.07106781186548,east,mangrove,east,mangrove,unifrac
S51,S37,0.9516317648856679,173.4142135623731,east,seagrass,east,mangrove,unifrac
S52,S37,0.9630250868832861,173.4142135623731,east,seagrass,east,mangrove,unifrac
S53,S37,0.9542316122323772,173.4142135623731,east,seagrass,east,mangrove,unifrac
