model,sample_name,group,dispersion
site_code,S85,Man_Merang,0.27627842196307156
site_code,S86,Man_Penaga,0.5601516267816786
site_code,S87,Man_Penaga,0.5556230475616224
site_code,S88,Man_Penaga,0.27202421428314205
site_code,S89,Man_Penaga,0.3413837638806441
site_code,S90,Man_Penaga,0.3972287906588425
site_code,S91,SeG_Pulau_Kezambo,0.2996832900742937
site_code,S92,SeG_Pulau_Kezambo,0.22171183966372587
site_code,S93,SeG_Pulau_Kezambo,0.30586119749303564
site_code,S94,SeG_Pulau_Kezambo,0.46232916322583745
site_code,S95,SeG_Pulau_Kezambo,0.2940626304671757
site_code,S96,Man_Kuala_Sepetang,0.34898348228979614
site_code,S97,Man_Kuala_Sepetang,0.2189617321501036
site_code,S98,Man_Kuala_Sepetang,0.20881991808719966
site_code,S99,Man_Kuala_Sepetang,0.295023392217004
site_code,S100,Man_Kuala_Sepetang,0.3096074694742916
site_code,S101,Cor_Pulau_Pangkor,0.43518596573678525
site_code,S102,Cor_Pulau_Pangkor,0.30873304989390443
site_code,S103,Cor_Pulau_Pangkor,0.469867998989259
site_code,S104,Cor_Pulau_Pangkor,0.29023464444867686
site_code,S105,Cor_Pulau_Pangkor,0.43105118728711883
site_code,S106,Man_Pulau_Ketam,0.3161643706734052
site_code,S107,Man_Pulau_Ketam,0.23370434640761395
site_code,S108,Man_Pulau_Ketam,0.27826815047343184
site_code,S109,Man_Pulau_Ketam,0.4398891128602489
site_code,S110,Man_Pulau_Ketam,0.455658687398431
protected_area,S1,N,0.43014825596220213
protected_area,S2,N,0.4620092044616789
protected_area,S3,N,0.4309252409578338
protected_area,S4,N,0.4177458642473947
protected_area,S5,N,0.4188134297044971
protected_area,S6,N,0.7111116073024936
protected_area,S7,N,0.7163649580920017
protected_area,S8,N,0.6266839494786605
protected_area,S9,N,0.6514775082139641
protected_area,S10,N,0.7077341579403686
protected_area,S11,N,0.5290305044915065
protected_area,S12,N,0.5279331452046142
protected_area,S13,N,0.5195599104924169
protected_area,S14,N,0.5295819374820033
protected_area,S15,N,0.5048992287531149
protected_area,S16,Y,0.5435496146233308
protected_area,S17,Y,0.5367238857312407
protected_area,S18,Y,0.5351836457803526
protected_area,S19,Y,0.5508652060619215
protected_area,S20,Y,0.5365805506350907
protected_area,S21,Y,0.6265342071105902
protected_area,S22,Y,0.4862016569687753
protected_area,S23,Y,0.45343519223684114
protected_area,S24,Y,0.41646799354732766
protected_area,S25,Y,0.4419111377510902
protected_area,S26,Y,0.40554663740889374
protected_area,S27,Y,0.4399288952203156
protected_area,S28,Y,0.5107784140614238
protected_area,S29,Y,0.6833012528159843
protected_area,S30,Y,0.37402671606903437
protected_area,S31,Y,0.3710063608599374
protected_area,S32,Y,0.3984578277782619
protected_area,S33,Y,0.39531628499406257
protected_area,S34,Y,0.48797900126579835
protected_area,S35,Y,0.43065226277367175
protected_area,S36,N,0.7510548526096095
protected_area,S37,N,0.7747052345043807
protected_area,S38,N,0.7600011863248255
protected_area,S39,N,0.7641069495874905
protected_area,S40,N,0.7021820648812502
protected_area,S41,N,0.5801206011028011
protected_area,S42,N,0.5283971683343452
protected_area,S43,N,0.6097607070202851
protected_area,S44,N,0.5209099040920163
protected_area,S45,N,0.5640044258483758
protected_area,S46,N,0.5018102989181766
protected_area,S47,N,0.6103908438545025
protected_area,S48,N,0.4849965766840981
protected_area,S49,N,0.6889568719413695
protected_area,S50,N,0.5548148735389026
protected_area,S51,N,0.4723605684392926
protected_area,S52,N,0.4718326277508108
protected_area,S53,N,0.45454644292505175
protected_area,S54,N,0.44532182925395625
protected_area,S55,N,0.46224485718877284
protected_area,S56,N,0.4570910543706949
protected_area,S57,N,0.45563182174864797
protected_area,S58,N,0.4858424373447074
