sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S1,S51,0.6319107862265699,S1__S51,1,Mangrove,West,Man_Kukup,1.334569,103.430838,51,Seagrass,East,ManSeG_Paka,4.657741,103.438562,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S52,0.6632293044419811,S1__S52,1,Mangrove,West,Man_Kukup,1.334569,103.430838,52,Seagrass,East,ManSeG_Paka,4.656438,103.436615,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S53,0.6063994520789912,S1__S53,1,Mangrove,West,Man_Kukup,1.334569,103.430838,53,Seagrass,East,ManSeG_Paka,4.653916,103.433807,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S54,0.6149424932565677,S1__S54,1,Mangrove,West,Man_Kukup,1.334569,103.430838,54,Seagrass,East,ManSeG_Paka,4.648234,103.435003,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S55,0.6241441598995523,S1__S55,1,Mangrove,West,Man_Kukup,1.334569,103.430838,55,Seagrass,East,ManSeG_Paka,4.644799,103.436867,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S56,0.5721651558093374,S1__S56,1,Mangrove,West,Man_Kukup,1.334569,103.430838,56,Coral,West,Cor_Pulau_Intan,6.231933,99.71668,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S57,0.59274933597713,S1__S57,1,Mangrove,West,Man_Kukup,1.334569,103.430838,57,Coral,West,Cor_Pulau_Intan,6.235042,99.713494,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S58,0.5612178733998553,S1__S58,1,Mangrove,West,Man_Kukup,1.334569,103.430838,58,Coral,West,Cor_Pulau_Intan,6.241277,99.713092,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S59,0.6157897314543752,S1__S59,1,Mangrove,West,Man_Kukup,1.334569,103.430838,59,Coral,West,Cor_Pulau_Intan,6.242925,99.71689,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S60,0.5703644595178803,S1__S60,1,Mangrove,West,Man_Kukup,1.334569,103.430838,60,Coral,West,Cor_Pulau_Intan,6.239442,99.719555,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S61,0.4932145405850243,S1__S61,1,Mangrove,West,Man_Kukup,1.334569,103.430838,61,Mangrove,West,Man_Selat_Nyior,6.217682,99.829402,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S62,0.5755991747823803,S1__S62,1,Mangrove,West,Man_Kukup,1.334569,103.430838,62,Mangrove,West,Man_Selat_Nyior,6.220929,99.825029,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S63,0.5376744422118023,S1__S63,1,Mangrove,West,Man_Kukup,1.334569,103.430838,63,Mangrove,West,Man_Selat_Nyior,6.224728,99.821968,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S64,0.4949848997290867,S1__S64,1,Mangrove,West,Man_Kukup,1.334569,103.430838,64,Mangrove,West,Man_Selat_Nyior,6.228636,99.820188,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S65,0.47302837119434565,S1__S65,1,Mangrove,West,Man_Kukup,1.334569,103.430838,65,Mangrove,West,Man_Selat_Nyior,6.235251,99.818035,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S66,0.6655853086990098,S1__S66,1,Mangrove,West,Man_Kukup,1.334569,103.430838,66,Seagrass,West,SeG_Tanjung_Rhu,6.460722,99.827135,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S67,0.5362557922728596,S1__S67,1,Mangrove,West,Man_Kukup,1.334569,103.430838,67,Seagrass,West,SeG_Tanjung_Rhu,6.460835,99.825327,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S68,0.5637872627595343,S1__S68,1,Mangrove,West,Man_Kukup,1.334569,103.430838,68,Seagrass,West,SeG_Tanjung_Rhu,6.461043,99.823702,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S69,0.6101368656979226,S1__S69,1,Mangrove,West,Man_Kukup,1.334569,103.430838,69,Seagrass,West,SeG_Tanjung_Rhu,6.461208,99.823448,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S70,0.654765635443894,S1__S70,1,Mangrove,West,Man_Kukup,1.334569,103.430838,70,Seagrass,West,SeG_Tanjung_Rhu,6.461547,99.819962,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S71,0.9586735316211554,S1__S71,1,Mangrove,West,Man_Kukup,1.334569,103.430838,71,Coral,East,Cor_Pulau_Redang,5.814393,103.009382,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S73,0.9825053272656793,S1__S73,1,Mangrove,West,Man_Kukup,1.334569,103.430838,73,Coral,East,Cor_Pulau_Redang,5.816677,103.007751,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S74,0.9354928742187785,S1__S74,1,Mangrove,West,Man_Kukup,1.334569,103.430838,74,Coral,East,Cor_Pulau_Redang,5.816281,103.005989,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S75,0.9140935078173454,S1__S75,1,Mangrove,West,Man_Kukup,1.334569,103.430838,75,Coral,East,Cor_Pulau_Redang,5.814536,103.006378,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S77,0.8335562908207368,S1__S77,1,Mangrove,West,Man_Kukup,1.334569,103.430838,77,Coral,East,Cor_Pulau_Bidong,5.624215,103.056647,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S78,0.7440726076280306,S1__S78,1,Mangrove,West,Man_Kukup,1.334569,103.430838,78,Coral,East,Cor_Pulau_Bidong,5.625977,103.057468,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S80,0.9150457554189818,S1__S80,1,Mangrove,West,Man_Kukup,1.334569,103.430838,80,Coral,East,Cor_Pulau_Bidong,5.627685,103.059864,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S81,0.6476718468671618,S1__S81,1,Mangrove,West,Man_Kukup,1.334569,103.430838,81,Mangrove,East,Man_Merang,5.527989,102.944516,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S82,0.6822464961404447,S1__S82,1,Mangrove,West,Man_Kukup,1.334569,103.430838,82,Mangrove,East,Man_Merang,5.526065,102.943286,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S83,0.6609699734316942,S1__S83,1,Mangrove,West,Man_Kukup,1.334569,103.430838,83,Mangrove,East,Man_Merang,5.526248,102.941049,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S84,0.6414912785102437,S1__S84,1,Mangrove,West,Man_Kukup,1.334569,103.430838,84,Mangrove,East,Man_Merang,5.528314,102.940522,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S85,0.6887040779556138,S1__S85,1,Mangrove,West,Man_Kukup,1.334569,103.430838,85,Mangrove,East,Man_Merang,5.528731,102.938759,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S86,0.5304667885030028,S1__S86,1,Mangrove,West,Man_Kukup,1.334569,103.430838,86,Mangrove,West,Man_Penaga,5.517253,100.364968,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S87,0.5947483124519697,S1__S87,1,Mangrove,West,Man_Kukup,1.334569,103.430838,87,Mangrove,West,Man_Penaga,5.51815,100.366985,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S88,0.8049451788406133,S1__S88,1,Mangrove,West,Man_Kukup,1.334569,103.430838,88,Mangrove,West,Man_Penaga,5.519453,100.369366,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S89,0.8372594711318682,S1__S89,1,Mangrove,West,Man_Kukup,1.334569,103.430838,89,Mangrove,West,Man_Penaga,5.520585,100.371383,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S90,0.8835266399975161,S1__S90,1,Mangrove,West,Man_Kukup,1.334569,103.430838,90,Mangrove,West,Man_Penaga,5.522977,100.372478,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S91,0.5332364106665336,S1__S91,1,Mangrove,West,Man_Kukup,1.334569,103.430838,91,Seagrass,West,SeG_Pulau_Kezambo,5.363009,100.324704,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S92,0.5564939544123598,S1__S92,1,Mangrove,West,Man_Kukup,1.334569,103.430838,92,Seagrass,West,SeG_Pulau_Kezambo,5.364814,100.324618,FALSE,TRUE,FALSE,Different habitat / same coast
